,BATSMEN,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
0,FduPlessis,3,4,2,0,0,150,1.5,0,0,0,0,0,1.5
1,MVijay,10,28,17,1,0,58.82,5,0.5,0,0,0,-2,3.5
2,SKRaina,36,41,26,2,1,138.46,18,1,1,0,0,0,20
3,DJBravo,19,15,19,3,0,100,9.5,1.5,0,0,0,0,11
4,JAMorkel,3,14,8,0,0,37.5,1.5,0,0,0,0,-3,-1.5
5,SBadrinath,10,23,16,0,0,62.5,5,0,0,0,0,-1,4
6,MSDhoni,4,9,6,0,0,66.66,2,0,0,0,0,-1,1
7,RAJadeja,3,15,5,0,0,60,1.5,0,0,0,0,-1,0.5
8,RAshwin,3,4,5,0,0,60,1.5,0,0,0,0,-1,0.5
9,SBJakati,6,11,10,0,0,60,3,0,0,0,0,-1,2
10,DEBollinger,3,7,5,0,0,60,1.5,0,0,0,0,-1,0.5
11,RELevi,50,34,35,6,3,142.85,25,3,3,4,0,0,35
12,SRTendulkar,16,48,15,1,1,106.66,8,0.5,1,0,0,0,9.5
13,RGSharma,0,7,3,0,0,0,0,0,0,0,0,-3,-3
14,ATRayudu,18,39,18,0,1,100,9,0,1,0,0,0,10
15,JECFranklin,25,32,30,2,0,83.33,12.5,1,0,0,0,0,13.5
16,MKPandey,0,3,5,0,0,0,0,0,0,0,0,-3,-3
17,SCGanguly,3,16,6,0,0,50,1.5,0,0,0,0,-2,-0.5
18,WDParnell,11,19,14,2,0,78.57,5.5,1,0,0,0,0,6.5
19,RVUthappa,36,52,33,3,0,109.09,18,1.5,0,0,0,0,19.5
20,CJFerguson,12,17,13,1,0,92.3,6,0.5,0,0,0,0,6.5
21,SPDSmith,39,49,32,4,0,121.87,19.5,2,0,0,0,0,21.5
22,MNSamuels,4,7,4,0,0,100,2,0,0,0,0,0,2
23,BKumar,2,3,4,0,0,50,1,0,0,0,0,-2,-1
24,MKartik,14,13,9,1,1,155.55,7,0.5,1,0,0,0,8.5
26,RELevi,0,1,2,0,0,0,0,0,0,0,0,-3,-3
27,ATRayudu,1,6,2,0,0,50,0.5,0,0,0,0,-2,-1.5
28,RGSharma,1,9,6,0,0,16.66,0.5,0,0,0,0,-3,-2.5
29,JECFranklin,32,76,42,1,0,76.19,16,0.5,0,0,0,0,16.5
30,KDKarthik,32,38,32,4,1,100,16,2,1,0,0,0,19
31,SAYadav,0,6,4,0,0,0,0,0,0,0,0,-3,-3
32,KAPollard,8,17,11,0,0,72.72,4,0,0,0,0,0,4
33,HarbhajanSingh,16,19,15,2,0,106.66,8,1,0,0,0,0,9
34,SLMalinga,5,7,3,1,0,166.66,2.5,0.5,0,0,0,0,3
35,PPOjha,0,5,1,0,0,0,0,0,0,0,0,-3,-3
36,MMPatel,1,1,2,0,0,50,0.5,0,0,0,0,-2,-1.5
37,RDravid,28,42,24,3,0,116.66,14,1.5,0,0,0,0,15.5
38,AMRahane,98,87,66,16,1,148.48,49,8,1,4,0,0,62
39,ALMenaria,0,5,3,0,0,0,0,0,0,0,0,-3,-3
40,BJHodge,21,27,16,1,1,131.25,10.5,0.5,1,0,0,0,12
41,OAShah,14,14,8,2,0,175,7,1,0,0,0,0,8
42,KKCooper,11,3,3,1,1,366.66,5.5,0.5,1,0,0,0,7
43,ACGilchrist,27,19,18,3,1,150,13.5,1.5,1,0,0,0,16
44,PCValthaty,13,28,15,2,0,86.66,6.5,1,0,0,0,0,7.5
45,SEMarsh,7,14,6,1,0,116.66,3.5,0.5,0,0,0,0,4
46,AMNayar,10,9,10,0,1,100,5,0,1,0,0,0,6
47,DJHussey,13,19,10,1,0,130,6.5,0.5,0,0,0,0,7
48,MandeepSingh,34,37,25,5,0,136,17,2.5,0,0,0,0,19.5
49,BipulSharma,18,20,13,2,0,138.46,9,1,0,0,0,0,10
50,PPChawla,10,11,8,0,1,125,5,0,1,0,0,0,6
51,JPFaulkner,11,18,9,0,0,122.22,5.5,0,0,0,0,0,5.5
52,PKumar,10,6,6,0,1,166.66,5,0,1,0,0,0,6
53,HarmeetSingh,1,1,1,0,0,100,0.5,0,0,0,0,0,0.5
54,ABMcDonald,30,27,19,4,2,157.89,15,2,2,0,0,0,19
55,CAPujara,11,18,12,1,0,91.66,5.5,0.5,0,0,0,0,6
56,VKohli,8,13,8,1,0,100,4,0.5,0,0,0,0,4.5
57,ABdeVilliers,64,64,42,6,2,152.38,32,3,2,4,0,0,41
58,SSTiwary,1,4,3,0,0,33.33,0.5,0,0,0,0,-3,-2.5
59,MAAgarwal,16,16,15,1,1,106.66,8,0.5,1,0,0,0,9.5
60,DLVettori,3,8,4,0,0,75,1.5,0,0,0,0,0,1.5
61,RVinayKumar,18,26,16,1,0,112.5,9,0.5,0,0,0,0,9.5
62,HVPatel,0,1,1,0,0,0,0,0,0,0,0,-3,-3
63,AJFinch,25,43,24,3,0,104.16,12.5,1.5,0,0,0,0,14
64,VSehwag,0,3,1,0,0,0,0,0,0,0,0,-3,-3
65,NVOjha,33,28,26,4,1,126.92,16.5,2,1,0,0,0,19.5
66,YVenugopalRao,18,28,23,1,0,78.26,9,0.5,0,0,0,0,9.5
67,GJMaxwell,3,6,4,0,0,75,1.5,0,0,0,0,0,1.5
68,YNagar,16,28,15,2,0,106.66,8,1,0,0,0,0,9
69,IKPathan,24,29,15,2,1,160,12,1,1,0,0,0,14
70,DAJBracewell,12,16,9,1,0,133.33,6,0.5,0,0,0,0,6.5
71,MMorkel,2,4,3,0,0,66.66,1,0,0,0,0,-1,0
72,MVijay,2,1,5,0,0,40,1,0,0,0,0,-3,-2
73,FduPlessis,39,36,25,1,4,156,19.5,0.5,4,0,0,0,24
74,SKRaina,16,22,12,3,0,133.33,8,1.5,0,0,0,0,9.5
75,SBadrinath,25,33,20,3,0,125,12.5,1.5,0,0,0,0,14
76,RAJadeja,48,47,29,3,3,165.51,24,1.5,3,0,0,0,28.5
77,MSDhoni,7,10,9,0,0,77.77,3.5,0,0,0,0,0,3.5
78,DJBravo,43,28,18,0,5,238.88,21.5,0,5,0,0,0,26.5
79,JAMorkel,2,13,3,0,0,66.66,1,0,0,0,0,-1,0
80,DJHarris,15,17,14,3,0,107.14,7.5,1.5,0,0,0,0,9
81,SDhawan,21,26,18,3,0,116.66,10.5,1.5,0,0,0,0,12
82,PAPatel,20,26,17,3,0,117.64,10,1.5,0,0,0,0,11.5
83,CLWhite,23,22,16,2,1,143.75,11.5,1,1,0,0,0,13.5
84,BChipli,10,8,9,0,1,111.11,5,0,1,0,0,0,6
85,DTChristian,2,7,3,0,0,66.66,1,0,0,0,0,-1,0
86,MSGony,4,6,8,0,0,50,2,0,0,0,0,-2,0
87,DBRaviTeja,0,4,2,0,0,0,0,0,0,0,0,-3,-3
88,AnkitSharma,15,13,8,0,2,187.5,7.5,0,2,0,0,0,9.5
89,DWSteyn,5,9,8,0,0,62.5,2.5,0,0,0,0,-1,1.5
91,JDRyder,8,23,8,0,0,100,4,0,0,0,0,0,4
92,SCGanguly,20,19,18,3,0,111.11,10,1.5,0,0,0,0,11.5
93,MNSamuels,46,46,39,4,2,117.94,23,2,2,0,0,0,27
94,RVUthappa,40,59,33,2,2,121.21,20,1,2,0,0,0,23
95,CJFerguson,3,7,6,0,0,50,1.5,0,0,0,0,-2,-0.5
96,SPDSmith,25,17,12,0,3,208.33,12.5,0,3,0,0,0,15.5
97,MKPandey,12,11,4,1,1,300,6,0.5,1,0,0,0,7.5
98,RSharma,0,2,2,0,0,0,0,0,0,0,0,-3,-3
