,Unnamed: 0,0s,4s,6s,Bowling,Econ,M,NB,O,R,Rajasthan Royals Team,Unnamed: 0.1,W,WD,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
0,0,6.0,6.0,1.0,UT Yadav,12.0,0.0,0.0,3.0,36.0,,0,0.0,0.0,0.0,4,0,-3,0.0,1.0
1,1,15.0,3.0,0.0,M Morkel,4.5,1.0,0.0,4.0,18.0,,1,2.0,0.0,20.0,0,0,2,4.0,26.0
2,2,7.0,4.0,3.0,Shakib Al Hasan,12.0,0.0,0.0,4.0,48.0,,2,1.0,2.0,10.0,0,0,-3,0.0,7.0
3,3,10.0,3.0,1.0,SP Narine,7.0,0.0,0.0,4.0,28.0,,3,0.0,0.0,0.0,0,0,0,0.0,0.0
4,4,7.0,0.0,2.0,AD Russell,7.0,0.0,0.0,3.0,21.0,,4,0.0,0.0,0.0,0,0,0,0.0,0.0
5,5,3.0,2.0,0.0,PP Chawla,8.0,0.0,0.0,2.0,16.0,,5,0.0,0.0,0.0,0,0,0,0.0,0.0
6,6,12.0,1.0,2.0,SL Malinga,6.75,0.0,0.0,4.0,27.0,,0,0.0,1.0,0.0,0,0,0,0.0,0.0
7,7,11.0,2.0,1.0,R Vinay Kumar,6.0,0.0,0.0,3.3,21.0,,1,0.0,0.0,0.0,0,0,0,0.0,0.0
8,8,5.0,1.0,2.0,CJ Anderson,10.5,0.0,0.0,2.0,21.0,,2,1.0,0.0,10.0,0,0,-2,0.0,8.0
9,9,7.0,2.0,4.0,JJ Bumrah,12.66,0.0,0.0,3.0,38.0,,3,1.0,1.0,10.0,0,0,-3,0.0,7.0
10,10,1.0,0.0,2.0,PP Ojha,11.5,0.0,0.0,2.0,23.0,,4,0.0,0.0,0.0,0,0,-3,0.0,-3.0
11,11,4.0,5.0,0.0,Harbhajan Singh,9.5,0.0,0.0,4.0,38.0,,5,1.0,0.0,10.0,0,0,-1,0.0,9.0
12,12,7.0,5.0,0.0,JA Morkel,9.33,0.0,0.0,3.0,28.0,,0,0.0,1.0,0.0,0,0,-1,0.0,-1.0
13,13,14.0,2.0,2.0,NM Coulter-Nile,7.5,0.0,1.0,4.0,30.0,,1,3.0,0.0,30.0,0,0,0,0.0,30.0
14,14,10.0,3.0,0.0,DJ Muthuswami,6.0,0.0,0.0,3.0,18.0,,2,1.0,0.0,10.0,0,0,0,0.0,10.0
15,15,8.0,2.0,0.0,Imran Tahir,6.75,0.0,0.0,4.0,27.0,,3,1.0,0.0,10.0,0,0,0,0.0,10.0
16,16,10.0,0.0,1.0,A Mishra,5.25,0.0,0.0,4.0,21.0,,4,1.0,0.0,10.0,0,0,1,0.0,11.0
17,17,4.0,1.0,0.0,JP Duminy,7.5,0.0,0.0,2.0,15.0,,5,1.0,1.0,10.0,0,0,0,0.0,10.0
18,18,12.0,3.0,0.0,A Nehra,6.25,0.0,0.0,4.0,25.0,,0,3.0,1.0,30.0,0,0,0,0.0,30.0
19,19,8.0,3.0,1.0,MM Sharma,8.25,0.0,0.0,4.0,33.0,,1,1.0,1.0,10.0,0,0,0,0.0,10.0
20,20,9.0,4.0,0.0,IC Pandey,7.5,0.0,0.0,4.0,30.0,,2,1.0,0.0,10.0,0,0,0,0.0,10.0
21,21,8.0,2.0,0.0,R Ashwin,6.25,0.0,0.0,4.0,25.0,,3,1.0,1.0,10.0,0,0,0,0.0,10.0
22,22,6.0,3.0,1.0,DJ Bravo,9.0,0.0,0.0,4.0,36.0,,4,2.0,2.0,20.0,0,0,-1,0.0,19.0
23,23,13.0,2.0,0.0,Sandeep Sharma,4.75,1.0,0.0,4.0,19.0,,0,1.0,1.0,10.0,0,0,2,4.0,16.0
24,24,12.0,1.0,1.0,Anureet Singh,5.75,0.0,0.0,4.0,23.0,,1,3.0,0.0,30.0,0,0,1,0.0,31.0
25,25,9.0,2.0,2.0,AR Patel,8.5,0.0,0.0,4.0,34.0,,2,1.0,2.0,10.0,0,0,0,0.0,10.0
26,26,4.0,3.0,2.0,Karanveer Singh,10.75,0.0,0.0,4.0,43.0,,3,0.0,0.0,0.0,0,0,-2,0.0,-2.0
27,27,16.0,2.0,2.0,MG Johnson,8.5,0.0,0.0,4.0,34.0,,4,2.0,5.0,20.0,0,0,0,0.0,20.0
28,28,13.0,4.0,1.0,TG Southee,9.0,0.0,0.0,4.0,36.0,,0,2.0,3.0,20.0,0,0,-1,0.0,19.0
