R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
3.00,4.00,2.00,0.00,0.00,150.00,1.50,0.00,0.00,0.00,0.00,0.00,1.50
10.00,28.00,17.00,1.00,0.00,58.82,5.00,0.50,0.00,0.00,0.00,-2.00,3.50
36.00,41.00,26.00,2.00,1.00,138.46,18.00,1.00,1.00,0.00,0.00,0.00,20.00
19.00,15.00,19.00,3.00,0.00,100.00,9.50,1.50,0.00,0.00,0.00,0.00,11.00
3.00,14.00,8.00,0.00,0.00,37.50,1.50,0.00,0.00,0.00,0.00,-3.00,-1.50
10.00,23.00,16.00,0.00,0.00,62.50,5.00,0.00,0.00,0.00,0.00,-1.00,4.00
4.00,9.00,6.00,0.00,0.00,66.66,2.00,0.00,0.00,0.00,0.00,-1.00,1.00
3.00,15.00,5.00,0.00,0.00,60.00,1.50,0.00,0.00,0.00,0.00,-1.00,0.50
3.00,4.00,5.00,0.00,0.00,60.00,1.50,0.00,0.00,0.00,0.00,-1.00,0.50
6.00,11.00,10.00,0.00,0.00,60.00,3.00,0.00,0.00,0.00,0.00,-1.00,2.00
3.00,7.00,5.00,0.00,0.00,60.00,1.50,0.00,0.00,0.00,0.00,-1.00,0.50
50.00,34.00,35.00,6.00,3.00,142.85,25.00,3.00,3.00,4.00,0.00,0.00,35.00
16.00,48.00,15.00,1.00,1.00,106.66,8.00,0.50,1.00,0.00,0.00,0.00,9.50
0.00,7.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
18.00,39.00,18.00,0.00,1.00,100.00,9.00,0.00,1.00,0.00,0.00,0.00,10.00
25.00,32.00,30.00,2.00,0.00,83.33,12.50,1.00,0.00,0.00,0.00,0.00,13.50
0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
3.00,16.00,6.00,0.00,0.00,50.00,1.50,0.00,0.00,0.00,0.00,-2.00,-0.50
11.00,19.00,14.00,2.00,0.00,78.57,5.50,1.00,0.00,0.00,0.00,0.00,6.50
36.00,52.00,33.00,3.00,0.00,109.09,18.00,1.50,0.00,0.00,0.00,0.00,19.50
12.00,17.00,13.00,1.00,0.00,92.30,6.00,0.50,0.00,0.00,0.00,0.00,6.50
39.00,49.00,32.00,4.00,0.00,121.87,19.50,2.00,0.00,0.00,0.00,0.00,21.50
4.00,7.00,4.00,0.00,0.00,100.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00
2.00,3.00,4.00,0.00,0.00,50.00,1.00,0.00,0.00,0.00,0.00,-2.00,-1.00
14.00,13.00,9.00,1.00,1.00,155.55,7.00,0.50,1.00,0.00,0.00,0.00,8.50
0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
