R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
133,82,59,19,4,225.42,66.5,9.5,4,4,8,0,92
98,87,66,16,1,148.48,49,8,1,4,0,0,62
108,94,51,15,3,211.76,54,7.5,3,4,8,0,76.5
96,83,57,15,2,168.42,48,7.5,2,4,0,0,61.5
96,89,56,14,2,171.42,48,7,2,4,0,0,61
92,99,61,14,2,150.81,46,7,2,4,0,0,59
86,66,48,14,2,179.16,43,7,2,4,0,0,56
84,62,50,14,2,168,42,7,2,4,0,0,55
175,102,66,13,17,265.15,87.5,6.5,17,4,8,0,123
98,70,53,13,4,184.9,49,6.5,4,4,0,0,63.5
95,83,57,13,2,166.66,47.5,6.5,2,4,0,0,60
90,90,60,13,1,150,45,6.5,1,4,0,0,56.5
88,75,51,13,1,172.54,44,6.5,1,4,0,0,55.5
113,71,50,12,8,226,56.5,6,8,4,8,0,82.5
109,76,60,12,5,181.66,54.5,6,5,4,8,0,77.5
103,86,60,12,5,171.66,51.5,6,5,4,8,0,74.5
98,85,65,12,4,150.76,49,6,4,4,0,0,63
89,83,57,12,1,156.14,44.5,6,1,4,0,0,55.5
73,70,38,12,1,192.1,36.5,6,1,4,0,0,47.5
76,68,48,12,0,158.33,38,6,0,4,0,0,48
74,58,47,12,0,157.44,37,6,0,4,0,0,47
92,99,58,11,5,158.62,46,5.5,5,4,0,0,60.5
93,60,47,11,4,197.87,46.5,5.5,4,4,0,0,60
99,81,52,11,3,190.38,49.5,5.5,3,4,0,0,62
93,96,58,11,3,160.34,46.5,5.5,3,4,0,0,59
93,109,55,11,3,169.09,46.5,5.5,3,4,0,0,59
95,73,59,11,2,161.01,47.5,5.5,2,4,0,0,59
86,77,54,11,2,159.25,43,5.5,2,4,0,0,54.5
100,88,63,11,1,158.73,50,5.5,1,4,8,0,68.5
74,73,44,11,1,168.18,37,5.5,1,4,0,0,47.5
70,56,41,11,1,170.73,35,5.5,1,4,0,0,45.5
61,41,28,11,1,217.85,30.5,5.5,1,4,0,0,41
72,83,49,11,0,146.93,36,5.5,0,4,0,0,45.5
71,87,52,11,0,136.53,35.5,5.5,0,4,0,0,45
63,68,47,11,0,134.04,31.5,5.5,0,4,0,0,41
129,78,52,10,12,248.07,64.5,5,12,4,8,0,93.5
126,80,59,10,8,213.55,63,5,8,4,8,0,88
109,79,54,10,7,201.85,54.5,5,7,4,8,0,78.5
99,80,58,10,4,170.68,49.5,5,4,4,0,0,62.5
90,71,51,10,4,176.47,45,5,4,4,0,0,58
87,75,48,10,3,181.25,43.5,5,3,4,0,0,55.5
85,88,54,10,3,157.4,42.5,5,3,4,0,0,54.5
86,97,58,10,2,148.27,43,5,2,4,0,0,54
84,93,54,10,2,155.55,42,5,2,4,0,0,53
82,74,52,10,2,157.69,41,5,2,4,0,0,52
81,96,58,10,2,139.65,40.5,5,2,4,0,0,51.5
67,48,45,10,2,148.88,33.5,5,2,4,0,0,44.5
82,102,57,10,1,143.85,41,5,1,4,0,0,51
76,95,58,10,1,131.03,38,5,1,4,0,0,48
73,92,52,10,1,140.38,36.5,5,1,4,0,0,46.5
