,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total,cluster_group
0,133.0,82.0,59,19,4,225.42,66.5,9.5,4,4,8,0,92.0,3.0
1,98.0,87.0,66,16,1,148.48,49.0,8.0,1,4,0,0,62.0,3.0
2,108.0,94.0,51,15,3,211.76,54.0,7.5,3,4,8,0,76.5,3.0
3,96.0,83.0,57,15,2,168.42,48.0,7.5,2,4,0,0,61.5,3.0
4,96.0,89.0,56,14,2,171.42,48.0,7.0,2,4,0,0,61.0,3.0
5,92.0,99.0,61,14,2,150.81,46.0,7.0,2,4,0,0,59.0,3.0
6,86.0,66.0,48,14,2,179.16,43.0,7.0,2,4,0,0,56.0,3.0
7,84.0,62.0,50,14,2,168.0,42.0,7.0,2,4,0,0,55.0,3.0
8,175.0,102.0,66,13,17,265.15,87.5,6.5,17,4,8,0,123.0,4.0
9,98.0,70.0,53,13,4,184.9,49.0,6.5,4,4,0,0,63.5,3.0
10,95.0,83.0,57,13,2,166.66,47.5,6.5,2,4,0,0,60.0,3.0
11,90.0,90.0,60,13,1,150.0,45.0,6.5,1,4,0,0,56.5,3.0
12,88.0,75.0,51,13,1,172.54,44.0,6.5,1,4,0,0,55.5,3.0
13,113.0,71.0,50,12,8,226.0,56.5,6.0,8,4,8,0,82.5,1.0
14,109.0,76.0,60,12,5,181.66,54.5,6.0,5,4,8,0,77.5,3.0
15,103.0,86.0,60,12,5,171.66,51.5,6.0,5,4,8,0,74.5,3.0
16,98.0,85.0,65,12,4,150.76,49.0,6.0,4,4,0,0,63.0,3.0
17,89.0,83.0,57,12,1,156.14,44.5,6.0,1,4,0,0,55.5,3.0
18,73.0,70.0,38,12,1,192.1,36.5,6.0,1,4,0,0,47.5,3.0
19,76.0,68.0,48,12,0,158.33,38.0,6.0,0,4,0,0,48.0,3.0
20,74.0,58.0,47,12,0,157.44,37.0,6.0,0,4,0,0,47.0,3.0
21,92.0,99.0,58,11,5,158.62,46.0,5.5,5,4,0,0,60.5,3.0
22,93.0,60.0,47,11,4,197.87,46.5,5.5,4,4,0,0,60.0,3.0
23,99.0,81.0,52,11,3,190.38,49.5,5.5,3,4,0,0,62.0,3.0
24,93.0,96.0,58,11,3,160.34,46.5,5.5,3,4,0,0,59.0,3.0
25,93.0,109.0,55,11,3,169.09,46.5,5.5,3,4,0,0,59.0,3.0
26,95.0,73.0,59,11,2,161.01,47.5,5.5,2,4,0,0,59.0,3.0
27,86.0,77.0,54,11,2,159.25,43.0,5.5,2,4,0,0,54.5,3.0
28,100.0,88.0,63,11,1,158.73,50.0,5.5,1,4,8,0,68.5,3.0
29,74.0,73.0,44,11,1,168.18,37.0,5.5,1,4,0,0,47.5,3.0
30,70.0,56.0,41,11,1,170.73,35.0,5.5,1,4,0,0,45.5,3.0
31,61.0,41.0,28,11,1,217.85,30.5,5.5,1,4,0,0,41.0,5.0
32,72.0,83.0,49,11,0,146.93,36.0,5.5,0,4,0,0,45.5,3.0
33,71.0,87.0,52,11,0,136.53,35.5,5.5,0,4,0,0,45.0,3.0
34,63.0,68.0,47,11,0,134.04,31.5,5.5,0,4,0,0,41.0,5.0
35,129.0,78.0,52,10,12,248.07,64.5,5.0,12,4,8,0,93.5,1.0
36,126.0,80.0,59,10,8,213.55,63.0,5.0,8,4,8,0,88.0,1.0
37,109.0,79.0,54,10,7,201.85,54.5,5.0,7,4,8,0,78.5,1.0
38,99.0,80.0,58,10,4,170.68,49.5,5.0,4,4,0,0,62.5,3.0
39,90.0,71.0,51,10,4,176.47,45.0,5.0,4,4,0,0,58.0,3.0
40,87.0,75.0,48,10,3,181.25,43.5,5.0,3,4,0,0,55.5,3.0
41,85.0,88.0,54,10,3,157.4,42.5,5.0,3,4,0,0,54.5,3.0
42,86.0,97.0,58,10,2,148.27,43.0,5.0,2,4,0,0,54.0,3.0
43,84.0,93.0,54,10,2,155.55,42.0,5.0,2,4,0,0,53.0,3.0
44,82.0,74.0,52,10,2,157.69,41.0,5.0,2,4,0,0,52.0,3.0
45,81.0,96.0,58,10,2,139.65,40.5,5.0,2,4,0,0,51.5,3.0
46,67.0,48.0,45,10,2,148.88,33.5,5.0,2,4,0,0,44.5,3.0
47,82.0,102.0,57,10,1,143.85,41.0,5.0,1,4,0,0,51.0,3.0
48,76.0,95.0,58,10,1,131.03,38.0,5.0,1,4,0,0,48.0,3.0
49,73.0,92.0,52,10,1,140.38,36.5,5.0,1,4,0,0,46.5,3.0
50,70.0,68.0,49,10,1,142.85,35.0,5.0,1,4,0,0,45.0,5.0
51,58.0,42.0,41,10,1,141.46,29.0,5.0,1,4,0,0,39.0,5.0
52,63.0,79.0,45,10,0,140.0,31.5,5.0,0,4,0,0,40.5,5.0
53,93.0,84.0,52,9,7,178.84,46.5,4.5,7,4,0,0,62.0,1.0
54,104.0,105.0,59,9,5,176.27,52.0,4.5,5,4,8,0,73.5,3.0
55,95.0,91.0,50,9,5,190.0,47.5,4.5,5,4,0,0,61.0,3.0
56,92.0,76.0,50,9,5,184.0,46.0,4.5,5,4,0,0,59.5,3.0
57,84.0,82.0,49,9,5,171.42,42.0,4.5,5,4,0,0,55.5,3.0
58,91.0,64.0,55,9,4,165.45,45.5,4.5,4,4,0,0,58.0,3.0
59,84.0,69.0,46,9,4,182.6,42.0,4.5,4,4,0,0,54.5,3.0
60,91.0,99.0,54,9,3,168.51,45.5,4.5,3,4,0,0,57.0,3.0
61,69.0,55.0,39,9,3,176.92,34.5,4.5,3,4,0,0,46.0,3.0
62,77.0,71.0,53,9,2,145.28,38.5,4.5,2,4,0,0,49.0,3.0
63,69.0,60.0,45,9,2,153.33,34.5,4.5,2,4,0,0,45.0,5.0
64,69.0,54.0,40,9,2,172.5,34.5,4.5,2,4,0,0,45.0,5.0
65,68.0,65.0,40,9,2,170.0,34.0,4.5,2,4,0,0,44.5,5.0
66,66.0,48.0,36,9,2,183.33,33.0,4.5,2,4,0,0,43.5,5.0
67,65.0,56.0,40,9,2,162.5,32.5,4.5,2,4,0,0,43.0,5.0
68,64.0,82.0,46,9,2,139.13,32.0,4.5,2,4,0,0,42.5,5.0
69,59.0,56.0,44,9,2,134.09,29.5,4.5,2,4,0,0,40.0,5.0
70,84.0,89.0,63,9,1,133.33,42.0,4.5,1,4,0,0,51.5,3.0
71,77.0,97.0,56,9,1,137.5,38.5,4.5,1,4,0,0,48.0,3.0
72,77.0,63.0,48,9,1,160.41,38.5,4.5,1,4,0,0,48.0,5.0
73,73.0,84.0,53,9,1,137.73,36.5,4.5,1,4,0,0,46.0,5.0
74,73.0,89.0,55,9,1,132.72,36.5,4.5,1,4,0,0,46.0,5.0
75,71.0,85.0,56,9,1,126.78,35.5,4.5,1,4,0,0,45.0,5.0
76,70.0,62.0,44,9,1,159.09,35.0,4.5,1,4,0,0,44.5,5.0
77,68.0,67.0,50,9,1,136.0,34.0,4.5,1,4,0,0,43.5,5.0
78,64.0,77.0,39,9,1,164.1,32.0,4.5,1,4,0,0,41.5,5.0
79,64.0,60.0,40,9,1,160.0,32.0,4.5,1,4,0,0,41.5,5.0
80,63.0,51.0,37,9,1,170.27,31.5,4.5,1,4,0,0,41.0,5.0
81,59.0,65.0,42,9,1,140.47,29.5,4.5,1,4,0,0,39.0,5.0
82,58.0,49.0,40,9,1,145.0,29.0,4.5,1,4,0,0,38.5,5.0
83,57.0,64.0,45,9,1,126.66,28.5,4.5,1,4,0,0,38.0,5.0
84,57.0,59.0,48,9,1,118.75,28.5,4.5,1,4,0,0,38.0,5.0
85,55.0,47.0,33,9,1,166.66,27.5,4.5,1,4,0,0,37.0,5.0
86,50.0,35.0,31,9,1,161.29,25.0,4.5,1,4,0,0,34.5,0.0
87,42.0,15.0,17,9,1,247.05,21.0,4.5,1,0,0,0,26.5,0.0
88,75.0,86.0,51,9,0,147.05,37.5,4.5,0,4,0,0,46.0,5.0
89,74.0,61.0,48,9,0,154.16,37.0,4.5,0,4,0,0,45.5,5.0
90,69.0,84.0,52,9,0,132.69,34.5,4.5,0,4,0,0,43.0,5.0
91,64.0,96.0,45,9,0,142.22,32.0,4.5,0,4,0,0,40.5,5.0
92,63.0,70.0,44,9,0,143.18,31.5,4.5,0,4,0,0,40.0,5.0
93,62.0,86.0,56,9,0,110.71,31.0,4.5,0,4,0,0,39.5,5.0
94,60.0,60.0,39,9,0,153.84,30.0,4.5,0,4,0,0,38.5,5.0
95,55.0,63.0,40,9,0,137.5,27.5,4.5,0,4,0,0,36.0,5.0
96,53.0,40.0,28,9,0,189.28,26.5,4.5,0,4,0,0,35.0,5.0
97,52.0,61.0,39,9,0,133.33,26.0,4.5,0,4,0,0,34.5,5.0
98,52.0,77.0,43,9,0,120.93,26.0,4.5,0,4,0,0,34.5,5.0
99,51.0,66.0,37,9,0,137.83,25.5,4.5,0,4,0,0,34.0,5.0
100,108.0,98.0,58,8,7,186.2,54.0,4.0,7,4,8,0,77.0,1.0
101,101.0,54.0,38,8,7,265.78,50.5,4.0,7,4,8,0,73.5,1.0
102,104.0,95.0,60,8,6,173.33,52.0,4.0,6,4,8,0,74.0,1.0
103,104.0,90.0,60,8,5,173.33,52.0,4.0,5,4,8,0,73.0,3.0
104,102.0,82.0,63,8,5,161.9,51.0,4.0,5,4,8,0,72.0,3.0
105,101.0,77.0,54,8,5,187.03,50.5,4.0,5,4,8,0,71.5,3.0
106,87.0,89.0,56,8,4,155.35,43.5,4.0,4,4,0,0,55.5,3.0
107,80.0,76.0,44,8,4,181.81,40.0,4.0,4,4,0,0,52.0,3.0
108,74.0,53.0,39,8,4,189.74,37.0,4.0,4,4,0,0,49.0,3.0
109,73.0,76.0,39,8,4,187.17,36.5,4.0,4,4,0,0,48.5,3.0
110,62.0,45.0,30,8,4,206.66,31.0,4.0,4,4,0,0,43.0,0.0
111,85.0,82.0,60,8,3,141.66,42.5,4.0,3,4,0,0,53.5,3.0
112,84.0,81.0,52,8,3,161.53,42.0,4.0,3,4,0,0,53.0,3.0
113,83.0,96.0,59,8,3,140.67,41.5,4.0,3,4,0,0,52.5,3.0
114,75.0,72.0,48,8,3,156.25,37.5,4.0,3,4,0,0,48.5,3.0
115,69.0,58.0,38,8,3,181.57,34.5,4.0,3,4,0,0,45.5,5.0
116,68.0,59.0,45,8,3,151.11,34.0,4.0,3,4,0,0,45.0,5.0
117,66.0,60.0,44,8,3,150.0,33.0,4.0,3,4,0,0,44.0,5.0
118,74.0,95.0,48,8,2,154.16,37.0,4.0,2,4,0,0,47.0,5.0
119,73.0,77.0,51,8,2,143.13,36.5,4.0,2,4,0,0,46.5,5.0
120,72.0,70.0,44,8,2,163.63,36.0,4.0,2,4,0,0,46.0,5.0
121,72.0,64.0,48,8,2,150.0,36.0,4.0,2,4,0,0,46.0,5.0
122,71.0,77.0,54,8,2,131.48,35.5,4.0,2,4,0,0,45.5,5.0
123,68.0,86.0,49,8,2,138.77,34.0,4.0,2,4,0,0,44.0,5.0
124,64.0,66.0,42,8,2,152.38,32.0,4.0,2,4,0,0,42.0,5.0
125,63.0,60.0,39,8,2,161.53,31.5,4.0,2,4,0,0,41.5,5.0
126,63.0,50.0,34,8,2,185.29,31.5,4.0,2,4,0,0,41.5,5.0
127,61.0,45.0,31,8,2,196.77,30.5,4.0,2,4,0,0,40.5,0.0
128,58.0,50.0,37,8,2,156.75,29.0,4.0,2,4,0,0,39.0,5.0
129,58.0,61.0,36,8,2,161.11,29.0,4.0,2,4,0,0,39.0,5.0
130,79.0,76.0,53,8,1,149.05,39.5,4.0,1,4,0,0,48.5,5.0
131,73.0,99.0,55,8,1,132.72,36.5,4.0,1,4,0,0,45.5,5.0
132,73.0,80.0,56,8,1,130.35,36.5,4.0,1,4,0,0,45.5,5.0
133,68.0,96.0,54,8,1,125.92,34.0,4.0,1,4,0,0,43.0,5.0
134,67.0,65.0,41,8,1,163.41,33.5,4.0,1,4,0,0,42.5,5.0
135,66.0,94.0,52,8,1,126.92,33.0,4.0,1,4,0,0,42.0,5.0
136,66.0,62.0,47,8,1,140.42,33.0,4.0,1,4,0,0,42.0,5.0
137,64.0,57.0,32,8,1,200.0,32.0,4.0,1,4,0,0,41.0,5.0
138,62.0,65.0,36,8,1,172.22,31.0,4.0,1,4,0,0,40.0,5.0
139,61.0,59.0,41,8,1,148.78,30.5,4.0,1,4,0,0,39.5,5.0
140,60.0,72.0,41,8,1,146.34,30.0,4.0,1,4,0,0,39.0,5.0
141,59.0,74.0,43,8,1,137.2,29.5,4.0,1,4,0,0,38.5,5.0
142,59.0,54.0,37,8,1,159.45,29.5,4.0,1,4,0,0,38.5,5.0
143,54.0,68.0,41,8,1,131.7,27.0,4.0,1,4,0,0,36.0,5.0
144,51.0,43.0,29,8,1,175.86,25.5,4.0,1,4,0,0,34.5,0.0
145,48.0,49.0,27,8,1,177.77,24.0,4.0,1,0,0,0,29.0,5.0
146,47.0,39.0,30,8,1,156.66,23.5,4.0,1,0,0,0,28.5,0.0
147,44.0,42.0,30,8,1,146.66,22.0,4.0,1,0,0,0,27.0,5.0
148,67.0,95.0,53,8,0,126.41,33.5,4.0,0,4,0,0,41.5,5.0
149,60.0,88.0,49,8,0,122.44,30.0,4.0,0,4,0,0,38.0,5.0
150,60.0,76.0,46,8,0,130.43,30.0,4.0,0,4,0,0,38.0,5.0
151,58.0,61.0,42,8,0,138.09,29.0,4.0,0,4,0,0,37.0,5.0
152,57.0,81.0,48,8,0,118.75,28.5,4.0,0,4,0,0,36.5,5.0
153,56.0,71.0,49,8,0,114.28,28.0,4.0,0,4,0,0,36.0,5.0
154,55.0,65.0,42,8,0,130.95,27.5,4.0,0,4,0,0,35.5,5.0
155,54.0,57.0,48,8,0,112.5,27.0,4.0,0,4,0,0,35.0,5.0
156,52.0,57.0,43,8,0,120.93,26.0,4.0,0,4,0,0,34.0,5.0
157,51.0,74.0,48,8,0,106.25,25.5,4.0,0,4,0,0,33.5,5.0
158,48.0,49.0,28,8,0,171.42,24.0,4.0,0,0,0,0,28.0,5.0
159,46.0,60.0,39,8,0,117.94,23.0,4.0,0,0,0,0,27.0,5.0
160,45.0,42.0,30,8,0,150.0,22.5,4.0,0,0,0,0,26.5,5.0
161,128.0,95.0,62,7,13,206.45,64.0,3.5,13,4,8,0,92.5,1.0
