,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
0,0,WPUJC Vaas,3.0,1,22,2,7.33,12,2,2,0,0
1,1,RP Singh,4.0,0,35,1,8.75,12,3,2,3,0
2,2,Jaskaran Singh,4.0,0,35,1,8.75,10,3,2,1,0
3,3,PP Ojha,4.0,0,19,0,4.75,12,2,0,0,0
4,4,A Symonds,4.0,0,26,0,6.5,8,0,1,2,0
5,5,TL Suman,1.0,0,16,0,16.0,1,1,1,0,1
6,0,CK Langeveldt,4.0,0,26,2,6.5,11,1,1,3,0
7,1,I Sharma,4.0,0,31,1,7.75,9,4,0,1,1
8,2,LR Shukla,3.0,0,30,1,10.0,5,1,2,0,0
9,3,M Kartik,3.0,0,17,1,5.66,9,2,0,0,0
10,4,AD Mathews,4.0,0,27,1,6.75,9,3,0,1,1
11,5,BJ Hodge,2.0,0,14,1,7.0,4,0,1,0,0
12,0,AD Mascarenhas,4.0,0,34,2,8.5,7,5,0,0,0
13,1,SW Tait,4.0,0,46,1,11.5,10,7,0,6,0
14,2,Kamran Khan,1.0,0,10,0,10.0,3,0,1,0,0
15,3,A Uniyal,4.0,0,41,2,10.25,6,4,1,2,0
16,4,SK Warne,3.0,0,29,0,9.66,5,3,1,1,0
17,5,AA Jhunjhunwala,2.0,0,27,0,13.5,3,4,1,0,0
18,6,YK Pathan,2.0,0,22,0,11.0,2,0,2,0,0
19,0,Z Khan,4.0,0,27,0,6.75,9,3,0,1,0
20,1,R McLaren,4.0,0,43,0,10.75,7,6,1,2,0
21,2,SL Malinga,4.0,0,22,2,5.5,9,1,0,1,0
22,3,AG Murtaza,4.0,0,46,1,11.5,7,2,4,0,0
23,4,R Sathish,3.0,0,51,1,17.0,3,5,4,1,0
24,5,ST Jayasuriya,1.0,0,19,0,19.0,0,1,2,0,0
25,0,DP Nannes,4.0,0,12,2,3.0,18,1,0,2,0
26,1,MF Maharoof,4.0,0,37,2,9.25,11,2,2,2,0
27,2,PJ Sangwan,4.0,0,32,1,8.0,11,5,0,0,0
28,3,A Mishra,4.0,0,23,1,5.75,10,3,0,0,0
29,4,VY Mahesh,3.0,0,23,1,7.66,5,2,0,1,0
30,5,TM Dilshan,1.0,0,7,1,7.0,2,1,0,0,0
31,0,IK Pathan,3.5,0,27,1,7.04,12,4,0,2,0
