,0s,4s,6s,Bowling,Econ,M,NB,O,Pune Warriors Team,R,Unnamed: 0,W,WD
0,7.0,3.0,0.0,Iqbal Abdulla,6.5,0.0,0.0,4.0,,26.0,0,1.0,0.0
1,7.0,2.0,0.0,YK Pathan,6.33,0.0,0.0,3.0,,19.0,1,1.0,1.0
2,8.0,2.0,0.0,L Balaji,6.25,0.0,0.0,4.0,,25.0,2,0.0,0.0
3,5.0,5.0,1.0,JH Kallis,11.33,0.0,0.0,3.0,,34.0,3,2.0,0.0
4,7.0,1.0,3.0,S Ladda,9.66,0.0,0.0,3.0,,29.0,4,0.0,0.0
5,2.0,1.0,0.0,R Bhatia,6.33,0.0,0.0,3.0,,19.0,5,0.0,0.0
6,2.0,5.0,0.0,JA Morkel,10.66,0.0,0.0,3.0,,32.0,0,0.0,1.0
7,9.0,4.0,0.0,TG Southee,7.5,0.0,0.0,4.0,,30.0,1,1.0,0.0
8,11.0,2.0,0.0,R Ashwin,6.5,0.0,0.0,4.0,,26.0,2,1.0,1.0
9,9.0,2.0,2.0,S Randiv,8.25,0.0,0.0,4.0,,33.0,3,1.0,1.0
10,7.0,1.0,1.0,SB Jakati,6.5,0.0,0.0,4.0,,26.0,4,1.0,0.0
11,3.0,0.0,0.0,SK Raina,3.0,0.0,0.0,1.0,,3.0,5,1.0,0.0
12,6.0,1.0,0.0,JDP Oram,6.5,0.0,0.0,2.0,,13.0,0,0.0,0.0
13,11.0,4.0,2.0,A Singh,8.75,0.0,0.0,4.0,,35.0,1,3.0,0.0
14,6.0,2.0,1.0,J Botha,7.75,0.0,0.0,4.0,,31.0,2,0.0,0.0
15,13.0,1.0,0.0,SK Trivedi,3.75,0.0,0.0,4.0,,15.0,3,3.0,0.0
16,13.0,0.0,1.0,SK Warne,5.25,0.0,0.0,4.0,,21.0,4,2.0,1.0
17,1.0,1.0,0.0,AL Menaria,8.0,0.0,0.0,1.0,,8.0,5,0.0,0.0
18,0.0,1.0,1.0,STR Binny,14.0,0.0,0.0,1.0,,14.0,6,0.0,0.0
19,3.0,5.0,1.0,PP Ojha,11.47,0.0,0.0,3.5,,44.0,0,0.0,0.0
20,16.0,3.0,0.0,DW Steyn,4.5,0.0,1.0,4.0,,18.0,1,2.0,0.0
21,13.0,2.0,1.0,I Sharma,6.0,0.0,1.0,4.0,,24.0,2,0.0,1.0
22,6.0,3.0,0.0,DT Christian,8.33,0.0,0.0,3.0,,25.0,3,0.0,0.0
23,9.0,2.0,1.0,A Mishra,7.0,0.0,0.0,4.0,,28.0,4,0.0,0.0
24,10.0,2.0,1.0,Z Khan,7.0,0.0,0.0,4.0,,28.0,0,1.0,0.0
25,5.0,4.0,1.0,DP Nannes,10.33,0.0,0.0,3.0,,31.0,1,1.0,1.0
26,11.0,1.0,0.0,DL Vettori,4.25,0.0,0.0,4.0,,17.0,2,1.0,0.0
27,7.0,2.0,1.0,TM Dilshan,7.5,0.0,0.0,4.0,,30.0,3,1.0,0.0
28,2.0,1.0,2.0,A Mithun,19.0,0.0,1.0,1.0,,19.0,4,0.0,0.0
29,4.0,2.0,0.0,V Kohli,7.0,0.0,0.0,2.0,,14.0,5,1.0,0.0
30,3.0,1.0,0.0,AUK Pathan,9.5,0.0,0.0,2.0,,19.0,6,0.0,2.0
31,5.0,3.0,0.0,RP Singh,9.66,0.0,0.0,3.0,,29.0,0,0.0,4.0
32,6.0,2.0,1.0,S Sreesanth,9.33,0.0,2.0,3.0,,28.0,1,1.0,1.0
33,8.0,2.0,1.0,RA Jadeja,7.0,0.0,0.0,4.0,,28.0,2,1.0,1.0
34,12.0,5.0,0.0,R Vinay Kumar,7.09,0.0,0.0,3.4,,26.0,3,1.0,1.0
35,10.0,0.0,2.0,M Muralitharan,6.75,0.0,0.0,4.0,,27.0,4,0.0,0.0
36,1.0,0.0,3.0,RV Gomez,20.0,0.0,0.0,1.0,,20.0,5,1.0,0.0
37,11.0,0.0,1.0,Harbhajan Singh,4.66,0.0,0.0,3.0,,14.0,0,2.0,1.0
38,16.0,2.0,0.0,SL Malinga,3.54,1.0,0.0,3.4,,13.0,1,5.0,1.0
39,13.0,3.0,0.0,AG Murtaza,5.25,0.0,0.0,4.0,,21.0,2,1.0,1.0
40,10.0,2.0,1.0,MM Patel,6.66,0.0,0.0,3.0,,20.0,3,0.0,0.0
41,5.0,1.0,0.0,KA Pollard,6.0,0.0,0.0,3.0,,18.0,4,0.0,1.0
42,0.0,1.0,0.0,JEC Franklin,9.0,0.0,0.0,1.0,,9.0,5,0.0,0.0
43,8.0,1.0,0.0,AB Dinda,3.5,0.0,0.0,2.0,,7.0,0,0.0,0.0
44,8.0,3.0,0.0,M Morkel,7.25,0.0,0.0,4.0,,29.0,1,1.0,3.0
45,9.0,1.0,0.0,IK Pathan,4.94,0.0,0.0,2.5,,14.0,2,0.0,3.0
46,3.0,2.0,0.0,UT Yadav,8.0,0.0,0.0,2.0,,16.0,3,0.0,0.0
47,14.0,0.0,1.0,RE van der Merwe,4.0,0.0,0.0,4.0,,16.0,4,0.0,0.0
48,5.0,1.0,0.0,AJ Finch,6.5,0.0,0.0,2.0,,13.0,5,0.0,1.0
49,11.0,2.0,1.0,AC Thomas,6.75,0.0,0.0,4.0,,27.0,0,2.0,1.0
50,11.0,2.0,0.0,SB Wagh,5.33,0.0,0.0,3.0,,16.0,1,3.0,3.0
51,16.0,4.0,0.0,WD Parnell,5.0,0.0,0.0,4.0,,20.0,2,1.0,0.0
52,3.0,2.0,0.0,M Kartik,10.0,0.0,1.0,1.0,,10.0,3,0.0,0.0
53,11.0,0.0,0.0,JD Ryder,3.0,1.0,0.0,3.0,,9.0,4,1.0,1.0
54,8.0,1.0,0.0,M Manhas,4.66,0.0,0.0,3.0,,14.0,5,0.0,0.0
55,5.0,1.0,0.0,R Sharma,6.0,0.0,0.0,2.0,,12.0,6,0.0,0.0
56,8.0,2.0,2.0,P Kumar,9.33,0.0,0.0,3.0,,28.0,0,1.0,1.0
