,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
0,0,DL Chahar,3,0,14,1,4.66,12,2,0,0,0
1,1,SR Watson,4,0,29,2,7.25,12,1,2,1,0
2,2,Harbhajan Singh,2,0,14,0,7,3,1,0,0,0
3,3,RA Jadeja,1,0,9,0,9,3,2,0,0,0
4,4,MA Wood,4,0,49,0,12.25,6,6,2,1,0
5,5,Imran Tahir,2,0,23,1,11.5,4,3,1,0,0
6,6,DJ Bravo,4,0,25,0,6.25,9,3,0,0,0
7,0,MJ McClenaghan,4,0,44,1,11,5,4,2,1,0
8,1,Mustafizur Rahman,3.5,0,39,1,10.17,8,6,1,0,0
9,2,JJ Bumrah,4,0,37,1,9.25,10,0,4,0,1
10,3,HH Pandya,4,0,24,3,6,12,1,1,3,0
11,4,M Markande,4,0,23,3,5.75,11,0,2,0,0
12,0,R Ashwin,4,0,23,1,5.75,4,0,0,1,0
13,1,MM Sharma,4,0,33,2,8.25,5,2,1,0,0
14,2,Mujeeb Ur Rahman,4,0,28,2,7,9,3,0,1,0
15,3,AR Patel,3,0,35,1,11.66,3,3,2,0,0
16,4,AJ Tye,4,0,38,0,9.5,7,3,2,1,1
17,5,MP Stoinis,1,0,7,0,7,0,0,0,0,0
18,0,TA Boult,3.5,0,34,1,8.86,11,3,2,0,1
19,1,Mohammed Shami,2,0,26,0,13,3,4,1,0,0
20,2,A Mishra,4,0,46,0,11.5,4,4,2,0,0
21,3,CH Morris,3,0,25,1,8.33,8,3,1,0,0
22,4,DT Christian,2,0,12,1,6,6,0,1,0,0
23,5,R Tewatia,4,0,24,1,6,9,2,0,0,0
24,0,R Vinay Kumar,2,0,30,2,15,6,3,3,0,0
25,1,PP Chawla,4,0,31,1,7.75,10,2,2,0,0
26,2,Kuldeep Yadav,3,0,33,0,11,4,1,2,1,0
27,3,SP Narine,4,0,30,1,7.5,9,3,1,0,0
28,4,MG Johnson,4,0,30,1,7.5,12,4,1,0,0
29,5,AD Russell,2,0,10,0,5,2,0,0,0,0
30,6,N Rana,1,0,11,2,11,3,1,1,0,0
31,0,YS Chahal,3,0,29,0,9.66,6,3,1,1,0
32,1,CR Woakes,4,0,36,3,9,15,5,2,2,0
33,2,Washington Sundar,4,0,48,1,12,4,2,4,1,0
34,3,UT Yadav,4,0,27,2,6.75,13,3,1,2,0
35,4,K Khejroliya,3.5,0,34,0,8.86,6,2,1,4,0
36,0,B Kumar,4,0,30,1,7.5,10,4,0,3,0
37,1,B Stanlake,4,0,29,1,7.25,7,2,0,1,0
38,2,Shakib Al Hasan,4,0,23,2,5.75,9,2,0,0,0
39,3,S Kaul,4,0,17,2,4.25,11,1,0,1,0
40,4,Rashid Khan,4,0,23,1,5.75,11,3,0,0,0
41,0,DS Kulkarni,2.5,0,18,0,6.35,12,2,1,1,0
42,1,JD Unadkat,3,0,28,1,9.33,8,3,1,1,0
43,2,K Gowtham,1,0,9,0,9,3,2,0,0,0
44,3,B Laughlin,2,0,20,0,10,4,3,0,0,1
45,4,S Gopal,3,0,18,0,6,7,2,0,0,0
46,5,BA Stokes,2,0,21,0,10.5,4,4,0,1,0
47,6,DJM Short,2,0,9,0,4.5,7,1,0,0,0
48,0,DL Chahar,1,0,18,0,18,2,1,2,1,0
49,1,Harbhajan Singh,2,0,11,1,5.5,5,1,0,0,0
50,2,SR Watson,4,0,39,2,9.75,7,5,1,2,0
51,3,RA Jadeja,2,0,19,1,9.5,6,1,2,0,0
52,4,Imran Tahir,4,0,26,0,6.5,11,2,1,0,0
53,5,SN Thakur,4,0,37,1,9.25,11,1,4,0,0
54,6,DJ Bravo,3,0,50,0,16.66,3,0,7,0,0
55,0,R Vinay Kumar,1.5,0,35,0,19.09,2,2,3,1,1
56,1,PP Chawla,4,0,49,1,12.25,5,3,3,1,0
57,2,AD Russell,4,0,35,0,8.75,7,2,2,0,0
58,3,TK Curran,3,0,39,2,13,3,1,4,0,0
59,4,SP Narine,4,0,17,1,4.25,9,0,0,0,0
60,5,Kuldeep Yadav,3,0,27,1,9,5,1,2,1,0
61,0,TA Boult,3,0,26,1,8.66,9,3,1,0,0
62,1,S Nadeem,4,0,34,2,8.5,4,2,1,0,0
63,2,CH Morris,3,0,34,0,11.33,5,1,3,0,0
64,3,Mohammed Shami,3.5,0,29,1,7.56,10,3,1,1,0
65,4,R Tewatia,4,0,29,0,7.25,6,2,0,1,0
66,0,K Gowtham,1,0,10,0,10,2,2,0,0,0
67,1,DS Kulkarni,1,0,4,0,4,3,0,0,1,0
68,2,JD Unadkat,2,0,24,1,12,5,4,1,0,0
69,3,B Laughlin,2,0,20,2,10,4,1,1,0,0
70,0,Sandeep Sharma,4,0,25,2,6.25,13,2,1,0,0
71,1,B Stanlake,4,0,42,2,10.5,13,5,3,1,0
72,2,Rashid Khan,4,0,13,1,3.25,18,2,0,1,0
73,3,S Kaul,4,0,29,2,7.25,9,4,0,0,1
74,4,Shakib Al Hasan,4,0,34,1,8.5,9,2,2,1,0
75,0,PJ Sangwan,2,0,19,0,9.5,5,4,0,0,0
76,1,JJ Bumrah,4,0,32,2,8,6,4,0,0,0
77,2,BCJ Cutting,4,0,40,0,10,4,4,1,1,0
78,3,KH Pandya,2,0,10,0,5,3,0,0,0,0
79,4,M Markande,4,0,23,4,5.75,11,3,0,0,0
80,5,Mustafizur Rahman,4,0,24,3,6,10,3,0,0,0
81,0,CR Woakes,3.2,0,36,2,10.8,7,3,2,3,0
82,1,UT Yadav,4,0,23,3,5.75,13,3,0,0,0
83,2,K Khejroliya,4,0,33,2,8.25,8,4,1,0,0
84,3,YS Chahal,4,0,38,1,9.5,6,2,2,0,0
85,4,Washington Sundar,4,0,22,2,5.5,8,0,1,0,0
86,0,AR Patel,4,0,25,1,6.25,10,3,0,0,0
87,1,R Ashwin,4,0,30,2,7.5,11,4,1,0,0
88,2,Mujeeb Ur Rahman,4,0,29,1,7.25,11,2,2,0,0
89,3,AJ Tye,4,0,27,1,6.75,7,2,0,1,0
90,4,MM Sharma,3.3,0,45,0,12.85,3,5,2,0,0
91,0,TA Boult,4,0,39,2,9.75,7,4,1,1,0
92,1,S Nadeem,2,0,22,0,11,4,2,1,2,0
93,2,Mohammed Shami,4,0,36,1,9,10,5,1,0,0
94,3,DT Christian,3,0,35,2,11.66,5,5,1,0,0
95,4,R Tewatia,4,0,36,2,9,8,1,3,1,0
96,5,GJ Maxwell,3,0,21,0,7,5,2,0,1,0
97,0,HH Pandya,2,0,32,0,16,2,4,2,0,0
98,1,A Dananjaya,4,0,47,0,11.75,6,2,4,1,0
99,2,JJ Bumrah,4,0,27,0,6.75,9,3,0,0,0
100,3,Mustafizur Rahman,4,0,25,1,6.25,11,2,1,0,0
101,4,M Markande,3,0,42,0,14,2,5,2,0,0
102,5,KH Pandya,3,0,21,2,7,8,2,1,0,0
103,0,B Kumar,4,0,26,3,6.5,13,2,1,0,2
104,1,B Stanlake,4,0,21,2,5.25,15,2,1,0,0
105,2,S Kaul,4,0,37,1,9.25,10,5,1,0,0
106,3,Rashid Khan,4,0,31,0,7.75,5,2,1,0,0
107,4,Shakib Al Hasan,4,0,21,2,5.25,11,1,0,1,0
108,0,MG Johnson,3,0,30,1,10,9,5,0,4,0
109,1,AD Russell,3,0,39,0,13,4,5,2,0,0
110,2,SP Narine,4,0,17,2,4.25,11,0,0,1,0
111,3,PP Chawla,4,0,20,1,5,10,2,0,0,0
112,4,Kuldeep Yadav,4,0,23,1,5.75,8,2,0,0,0
113,5,Shivam Mavi,1,0,10,0,10,1,0,1,0,0
114,0,Washington Sundar,4,0,30,0,7.5,7,1,2,0,0
115,1,CR Woakes,4,0,47,2,11.75,7,4,3,2,0
116,2,UT Yadav,4,0,59,0,14.75,5,4,4,2,2
117,3,YS Chahal,4,0,22,2,5.5,12,3,0,1,0
118,4,K Khejroliya,3,0,40,0,13.33,4,1,4,1,0
119,5,P Negi,1,0,13,0,13,2,1,1,0,0
120,0,K Gowtham,4,0,36,1,9,8,5,1,0,0
121,1,DS Kulkarni,1,0,14,0,14,1,3,0,0,0
122,2,JD Unadkat,3,0,35,0,11.66,2,4,1,0,0
123,3,BA Stokes,3,0,32,1,10.66,7,3,1,2,0
124,4,S Gopal,4,0,22,2,5.5,11,1,1,0,0
125,5,DJM Short,1,0,10,1,10,1,0,1,0,0
126,6,B Laughlin,4,0,46,1,11.5,5,4,2,1,0
127,0,DL Chahar,3,0,37,0,12.33,8,5,2,1,0
128,1,Harbhajan Singh,4,0,41,1,10.25,8,5,2,0,0
129,2,SN Thakur,3,0,33,2,11,4,3,1,0,0
130,3,Imran Tahir,4,0,34,2,8.5,11,3,2,0,0
131,4,SR Watson,2,0,15,1,7.5,3,0,1,0,0
132,5,DJ Bravo,4,0,37,1,9.25,4,3,1,0,0
133,0,BB Sran,4,0,37,0,9.25,10,1,2,4,0
134,1,MM Sharma,4,0,47,1,11.75,8,5,3,1,0
135,2,AJ Tye,4,0,47,2,11.75,5,5,2,1,0
136,3,Mujeeb Ur Rahman,3,0,18,0,6,5,1,0,0,0
137,4,R Ashwin,4,0,32,1,8,6,2,1,2,0
138,5,Yuvraj Singh,1,0,10,0,10,0,1,0,1,0
139,0,TA Boult,4,1,29,2,7.25,13,6,0,0,0
140,1,CH Morris,4,0,41,2,10.25,11,4,3,1,0
141,2,S Nadeem,4,0,43,1,10.75,7,3,3,0,0
