,BATSMEN,R,M,B,4s,6s,SR
0,RGSharma(c),98,85,65,12,4,150.76
1,AJFinch,5,5,5,1,0,100
2,APTare?Çá,7,7,7,1,0,100
3,ATRayudu,0,1,2,0,0,0
4,CJAnderson,55,61,41,4,3,134.14
6,RVUthappa?Çá,9,14,12,0,1,75
7,GGambhir(c),57,66,43,7,1,132.55
8,MKPandey,40,39,24,2,3,166.66
9,SAYadav,46,36,20,1,5,230
10,YKPathan,14,24,12,1,1,116.66
11,DRSmith,34,37,31,6,0,109.67
12,BBMcCullum,4,6,2,1,0,200
13,SKRaina,4,12,7,0,0,57.14
14,FduPlessis,32,34,24,3,0,133.33
15,RAJadeja,17,29,18,1,1,94.44
16,MSDhoni(c)?Çá,30,35,27,1,2,111.11
17,DJBravo,1,7,3,0,0,33.33
18,RAshwin,12,16,8,1,0,150
19,MMSharma,2,1,1,0,0,200
21,MAAgarwal,15,14,12,2,1,125
22,CMGautam?Çá,4,11,5,0,0,80
23,JAMorkel,73,99,55,8,1,132.72
24,SSIyer,7,11,7,1,0,100
25,KMJadhav,20,38,20,2,0,100
26,YuvrajSingh,9,8,6,1,0,150
27,JPDuminy(c),5,5,5,0,0,100
28,NMCoulter-Nile,5,12,4,1,0,125
29,AMishra,4,6,4,0,0,100
30,ImranTahir,2,5,2,0,0,100
31,DJMuthuswami,0,4,0,0,0,-
32,AMRahane,0,7,8,0,0,0
33,SVSamson?Çá,5,13,6,0,0,83.33
34,SPDSmith(c),33,41,23,5,0,143.47
35,KKNair,8,13,11,0,1,72.72
36,STRBinny,13,30,16,2,0,81.25
37,DJHooda,30,30,15,1,3,200
38,JPFaulkner,46,39,33,2,3,139.39
39,CHMorris,6,14,8,0,0,75
40,TGSouthee,0,2,0,0,0,-
42,VSehwag,0,1,1,0,0,0
43,MVijay,37,43,32,4,1,115.62
44,WPSaha?Çá,7,11,4,1,0,175
45,GJMaxwell,7,9,5,1,0,140
46,ARPatel,24,59,28,2,0,85.71
47,DAMiller,23,20,21,3,1,109.52
48,GJBailey(c),24,26,18,2,1,133.33
49,MGJohnson,0,4,4,0,0,0
50,AnureetSingh,0,8,3,0,0,0
51,KaranveerSingh,5,5,4,1,0,125
52,DRSmith,27,40,26,4,1,103.84
53,BBMcCullum,100,97,56,7,9,178.57
54,SKRaina,14,24,12,1,0,116.66
55,MSDhoni(c)?Çá,53,27,29,4,4,182.75
56,RAJadeja,0,1,1,0,0,0
57,DJBravo,0,1,0,0,0,-
59,DAWarner(c),53,72,42,1,3,126.19
60,SDhawan,26,16,18,5,0,144.44
