,BATSMEN,R,B,4s,6s,SR
0,RGSharma,15,18,1,1,83.33
1,ELewis,0,2,0,0,0
2,IshanKishan,40,29,4,1,137.93
3,SAYadav,43,29,6,1,148.27
4,HHPandya,22,20,2,0,110
5,KHPandya,41,22,5,2,186.36
7,SRWatson,16,14,1,1,114.28
8,ATRayudu,22,19,4,0,115.78
9,SKRaina,4,6,0,0,66.66
10,KMJadhav,24,22,1,2,109.09
11,MSDhoni,5,5,0,0,100
12,RAJadeja,12,13,1,0,92.3
13,DJBravo,68,30,3,7,226.66
14,DLChahar,0,1,0,0,0
15,HarbhajanSingh,8,5,1,0,160
16,MAWood,1,3,0,0,33.33
17,ImranTahir,2,2,0,0,100
18,CMunro,4,6,0,0,66.66
19,GGambhir,55,42,5,1,130.95
20,SSIyer,11,11,0,1,100
21,VShankar,13,13,0,0,100
22,RRPant,28,13,4,1,215.38
23,RTewatia,9,7,1,0,128.57
24,CHMorris,27,16,1,1,168.75
25,DTChristian,13,13,0,1,100
27,KLRahul,51,16,6,4,318.75
28,MAAgarwal,7,5,0,1,140
29,YuvrajSingh,12,22,2,0,54.54
30,KKNair,50,33,5,2,151.51
31,DAMiller,24,23,1,0,104.34
32,MPStoinis,22,15,2,0,146.66
33,BBMcCullum,43,27,6,2,159.25
34,QdeKock,4,4,1,0,100
35,VKohli,31,33,1,1,93.93
36,ABdeVilliers,44,23,1,5,191.3
37,SNKhan,6,10,0,0,60
38,MandeepSingh,37,18,4,2,205.55
39,CRWoakes,5,5,1,0,100
40,WashingtonSundar,0,0,0,0,
42,SPNarine,50,19,4,5,263.15
43,CALynn,5,8,1,0,62.5
44,RVUthappa,13,12,0,1,108.33
45,NRana,34,25,2,2,136
46,KDKarthik,35,29,4,0,120.68
47,RKSingh,6,6,1,0,100
48,ADRussell,15,11,2,1,136.36
49,RVinayKumar,6,3,1,0,200
50,AMRahane,13,13,2,0,100
51,DJMShort,4,4,1,0,100
52,SVSamson,49,42,5,0,116.66
53,BAStokes,5,8,0,0,62.5
54,RATripathi,17,15,2,0,113.33
