POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Luke  Pomersbach,5,5,4,152,79,152,99,153.53,0,1,13,9
2,Simon  Katich,2,2,1,96,75,96,69,139.13,0,1,11,2
3,Michael  Hussey,4,3,1,168,116,84,100,168,1,0,12,11
4,Andrew  Symonds,4,3,1,161,117,80.5,105,153.33,1,0,15,9
5,Shaun  Marsh,11,11,2,616,115,68.44,441,139.68,1,5,59,26
6,Matthew  Hayden,4,4,1,189,81,63,131,144.27,0,2,24,6
7,Brendon  McCullum,4,4,1,188,158,62.66,92,204.34,1,0,13,15
8,NK  Patel,5,4,2,103,57,51.5,81,127.16,0,1,13,1
9,Graeme  Smith,11,11,2,441,91,49,362,121.82,0,3,54,8
10,Shane  Watson,15,15,5,472,76,47.2,311,151.76,0,4,47,19
11,Sanath  Jayasuriya,14,13,2,494,114,44.9,298,165.77,1,2,53,31
12,MS  Dhoni,16,14,4,414,65,41.4,310,133.54,0,2,38,15
13,Gautam  Gambhir,14,14,1,534,86,41.07,379,140.89,0,5,68,8
14,Suresh  Raina,16,14,3,421,55,38.27,296,142.22,0,3,35,18
15,Shikhar  Dhawan,14,14,5,340,68,37.77,295,115.25,0,4,35,8
16,Ross  Taylor,4,4,0,149,53,37.25,81,183.95,0,1,13,10
17,Rohit  Sharma,13,12,1,404,76,36.72,273,147.98,0,4,38,19
18,Venugopal  Rao,11,10,2,288,71,36,210,137.14,0,2,22,15
19,Kumar  Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4,41,8
20,Manpreet  Gony,16,5,4,35,15,35,23,152.17,0,0,2,3
21,Robin  Uthappa,14,13,5,277,48,34.62,243,113.99,0,0,28,8
22,SA  Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2,43,6
23,Albie  Morkel,13,10,3,241,71,34.42,163,147.85,0,1,18,14
24,Virender  Sehwag,14,14,2,406,94,33.83,220,184.54,0,3,46,21
25,Adam  Gilchrist,14,14,1,436,109,33.53,318,137.1,1,3,51,19
26,Mark  Boucher,10,10,3,225,50,32.14,177,127.11,0,1,24,6
27,Subramaniam  Badrinath,16,11,5,192,64,32,130,147.69,0,2,21,8
28,Wriddhiman  Saha,12,10,5,159,59,31.8,119,133.61,0,1,12,7
29,Sachin  Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1,26,2
30,Yusuf  Pathan,16,15,1,435,68,31.07,243,179.01,0,4,43,25
31,VVS  Laxman,6,6,1,155,52,31,132,117.42,0,1,22,1
32,Dwayne  Bravo,9,6,1,154,64,30.8,118,130.5,0,1,17,4
33,Sourav  Ganguly,13,13,1,349,91,29.08,307,113.68,0,3,33,15
34,David  Hussey,13,13,2,319,71,29,259,123.16,0,2,19,17
35,Rahul  Dravid,14,14,1,371,75,28.53,298,124.49,0,2,35,11
36,Salman  Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
37,Parthiv  Patel,13,13,2,302,54,27.45,297,101.68,0,2,42,3
38,Shreevats  Goswami,4,3,0,82,52,27.33,85,96.47,0,1,9,1
39,Manoj  Tiwary,9,7,3,104,39,26,85,122.35,0,0,16,0
40,WA  Mota,4,2,1,26,25,26,27,96.29,0,0,2,0
41,Kamran  Akmal,6,6,1,128,53,25.6,78,164.1,0,1,13,8
42,Mahela  Jayawardene,13,12,5,179,45,25.57,131,136.64,0,0,15,7
