POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Dots,Avg,Econ,SR,4w,5w
1,Shane  Watson,15,15,54.1,383,17,158,22.52,7.07,19.11,0,0
2,Manpreet  Gony,16,16,60,443,17,154,26.05,7.38,21.17,0,0
3,Glenn  McGrath,14,14,54,357,12,153,29.75,6.61,27,1,0
4,Irfan  Pathan,14,14,53,350,15,150,23.33,6.6,21.2,0,0
5,Munaf  Patel,15,15,55,420,14,141,30,7.63,23.57,0,0
6,Shanthakumaran  Sreesanth,15,15,51.1,442,19,132,23.26,8.63,16.15,0,0
7,Muttiah  Muralitharan,15,15,58,404,11,127,36.72,6.96,31.63,0,0
8,Shaun  Pollock,13,12,43,269,11,123,24.45,6.25,23.45,0,0
9,RP  Singh,14,14,51.2,442,15,122,29.46,8.61,20.53,0,0
10,Sohail  Tanvir,11,11,41.1,266,22,121,12.09,6.46,11.22,1,1
11,Dale  Steyn,10,10,38,252,10,116,25.2,6.63,22.8,0,0
12,Ishant  Sharma,13,13,43.1,331,8,114,41.37,7.66,32.37,0,0
13,Ashok  Dinda,13,12,38,258,8,112,32.25,6.78,28.5,0,0
14,Piyush  Chawla,15,15,46.5,389,17,110,22.88,8.3,16.52,0,0
15,Praveen  Kumar,13,13,44.4,366,11,109,33.27,8.19,24.36,0,0
16,Ashish  Nehra,14,13,40.5,313,11,108,28.45,7.66,22.27,0,0
17,Shane  Warne,15,15,52,404,19,107,21.26,7.76,16.42,0,0
18,Siddharth  Trivedi,15,15,48,399,13,102,30.69,8.31,22.15,0,0
19,Albie  Morkel,13,13,48,399,17,100,23.47,8.31,16.94,1,0
20,Zaheer  Khan,11,11,42,357,13,100,27.46,8.5,19.38,0,0
21,Makhaya  Ntini,9,9,35,242,7,99,34.57,6.91,30,1,0
22,VRV  Singh,13,13,48,420,11,94,38.18,8.75,26.18,0,0
23,Yo  Mahesh,11,11,42.1,370,16,94,23.12,8.77,15.81,1,0
24,Anil  Kumble,10,10,38.2,304,7,85,43.42,7.93,32.85,0,0
25,MF  Maharoof,10,10,36,249,15,84,16.6,6.91,14.4,0,0
26,Pragyan  Ojha,13,12,37,284,11,71,25.81,7.67,20.18,0,0
27,Dhawal  Kulkarni,10,9,26.3,211,10,70,21.1,7.96,15.9,0,0
28,Ajit  Agarkar,9,9,26,207,8,66,25.87,7.96,19.5,0,0
29,Mohammad  Asif,8,8,32,296,8,64,37,9.25,24,0,0
30,Dwayne  Bravo,9,8,25.3,196,11,63,17.81,7.68,13.9,0,0
31,DP  Vijaykumar,9,9,25.2,199,4,63,49.75,7.85,38,0,0
32,Scott  Styris,8,8,27,199,3,61,66.33,7.37,54,0,0
33,Lakshmipathy  Balaji,9,9,33,286,11,60,26,8.66,18,0,1
34,Vinay  Kumar,8,8,23,182,5,59,36.4,7.91,27.6,0,0
35,Yusuf  Pathan,16,13,28.1,230,8,59,28.75,8.16,21.12,0,0
36,Shahid  Afridi,10,10,30,225,9,57,25,7.5,20,0,0
37,SB  Bangar,11,9,25,219,4,55,54.75,8.76,37.5,0,0
38,Jacques  Kallis,11,11,34.2,311,4,55,77.75,9.05,51.5,0,0
39,James  Hopes,11,11,28,276,7,52,39.42,9.85,24,0,0
40,Umar  Gul,6,6,22.3,184,12,51,15.33,8.17,11.25,1,0
41,Dilhara  Fernando,5,5,20,160,10,49,16,8,12,1,0
42,Rajat  Bhatia,9,9,22,183,6,48,30.5,8.31,22,0,0
43,Pradeep  Sangwan,7,7,24,215,5,47,43,8.95,28.8,0,0
44,Sourav  Ganguly,13,7,20,128,6,46,21.33,6.4,20,0,0
45,Brett  Lee,4,4,16,112,4,44,28,7,24,0,0
46,Joginder  Sharma,8,7,24.4,239,8,43,29.87,9.68,18.5,0,0
47,Amit  Mishra,6,6,19.5,138,11,42,12.54,6.95,10.81,0,1
48,Chaminda  Vaas,5,5,17,145,5,41,29,8.52,20.4,0,0
49,Sanath  Jayasuriya,14,8,21,159,4,36,39.75,7.57,31.5,0,0
50,Balachandra  Akhil,7,6,17.2,134,2,34,67,7.73,52,0,0
51,Jacob  Oram,4,4,16,149,3,32,49.66,9.31,32,0,0
52,Murali  Kartik,6,5,14.4,127,3,31,42.33,8.65,29.33,0,0
53,Ramesh  Powar,5,5,12,91,3,30,30.33,7.58,24,0,0
54,P  Amarnath,6,6,22,236,7,29,33.71,10.72,18.85,0,0
55,RR  Raje,6,6,16.2,137,5,28,27.4,8.38,19.6,0,0
56,Gajendra  Singh,4,4,14,141,3,25,47,10.07,28,0,0
57,DNT  Zoysa,3,3,11,99,2,24,49.5,9,33,0,0
58,David  Hussey,13,5,13,130,2,24,65,10,39,0,0
59,Shoaib  Akhtar,3,3,7,54,5,23,10.8,7.71,8.4,1,0
60,Venugopal  Rao,11,7,14,137,2,22,68.5,9.78,42,0,0
61,Dominic  Thornely,6,4,7,40,3,19,13.33,5.71,14,0,0
62,SB  Joshi,4,4,9.1,82,1,18,82,8.94,55,0,0
63,Laxmi  Ratan Shukla,13,9,12,124,6,18,20.66,10.33,12,0,0
